factors,reg,iterations,alpha,ndcg
64,0.01,15,20,0.06988354474898158
64,0.01,15,40,0.0726299469805777
64,0.01,15,50,0.07328188934769692
64,0.01,30,20,0.06958100615890668
64,0.01,30,40,0.07243852538132853
64,0.01,30,50,0.07316376207917137
64,0.01,50,20,0.06954204619185382
64,0.01,50,40,0.07235438727039918
64,0.01,50,50,0.07311523670619151
64,0.01,100,20,0.06949359686604499
64,0.01,100,40,0.07232462740572207
64,0.01,100,50,0.07299155990970378
64,0.05,15,20,0.06990672200357426
64,0.05,15,40,0.0726658160225711
64,0.05,15,50,0.07330074936980242
64,0.05,30,20,0.0695816784962773
64,0.05,30,40,0.07246795658002182
64,0.05,30,50,0.07325544324527189
64,0.05,50,20,0.06953455455152459
64,0.05,50,40,0.07235129187783136
64,0.05,50,50,0.07317483529813672
64,0.05,100,20,0.06948592528140024
64,0.05,100,40,0.07233351716073062
64,0.05,100,50,0.07300144594670416
128,0.01,15,20,0.08856505240991051
128,0.01,15,40,0.09096247934433058
128,0.01,15,50,0.09115166294766143
128,0.01,30,20,0.08830227907400678
128,0.01,30,40,0.09058562569573285
128,0.01,30,50,0.09082378120929699
128,0.01,50,20,0.08815998269471534
128,0.01,50,40,0.09049963113822566
128,0.01,50,50,0.0907986236970011
128,0.01,100,20,0.08808336765809845
128,0.01,100,40,0.09054717480650191
128,0.01,100,50,0.09103743151240247
128,0.05,15,20,0.0886042498865247
128,0.05,15,40,0.09102240361473131
128,0.05,15,50,0.09131711537477497
128,0.05,30,20,0.08832427132961478
128,0.05,30,40,0.09068317540772268
128,0.05,30,50,0.09092128979050407
128,0.05,50,20,0.0881965719572738
128,0.05,50,40,0.09058555215122197
128,0.05,50,50,0.09083141172399697
128,0.05,100,20,0.0881263032124596
128,0.05,100,40,0.09054413776897415
128,0.05,100,50,0.09107289680700674
256,0.01,15,20,0.1090719523233946
256,0.01,15,40,0.11032935266324533
256,0.01,15,50,0.11009693649438243
256,0.01,30,20,0.10901453736143424
256,0.01,30,40,0.11039707755632919
256,0.01,30,50,0.11019678842026222
256,0.01,50,20,0.10903521868442548
256,0.01,50,40,0.11060543411260676
256,0.01,50,50,0.11034265781489476
256,0.01,100,20,0.10894987522825687
256,0.01,100,40,0.11062788519897096
256,0.01,100,50,0.1105162765086429
256,0.05,15,20,0.10921536302517991
256,0.05,15,40,0.11049311806998012
256,0.05,15,50,0.1104492385145703
256,0.05,30,20,0.10915048988593978
256,0.05,30,40,0.11056639524271336
256,0.05,30,50,0.11042990096459027
256,0.05,50,20,0.10901567359280993
256,0.05,50,40,0.11068484454241874
256,0.05,50,50,0.11047308113266717
256,0.05,100,20,0.1089309479717569
256,0.05,100,40,0.11066507033261092
256,0.05,100,50,0.11055041277068788
